"DSSTox_RID","DSSTox_CID","DSSTox_Generic_SID","DSSTox_FileID","STRUCTURE_Formula","STRUCTURE_MolecularWeight","STRUCTURE_ChemicalType","STRUCTURE_TestedForm_DefinedOrganic","STRUCTURE_Shown","TestSubstance_ChemicalName","TestSubstance_CASRN","TestSubstance_Description","ChemicalNote","STRUCTURE_ChemicalName_IUPAC","STRUCTURE_SMILES","STRUCTURE_Parent_SMILES","STRUCTURE_InChI","STRUCTURE_InChIKey","StudyType","Endpoint","Species","ActivityOutcome_CPDBAS_Mutagenicity","TD50_Rat_mg","TD50_Rat_mmol","ActivityScore_CPDBAS_Rat","TD50_Rat_Note","TargetSites_Rat_Male","TargetSites_Rat_Female","TargetSites_Rat_BothSexes","ActivityOutcome_CPDBAS_Rat","TD50_Mouse_mg","TD50_Mouse_mmol","ActivityScore_CPDBAS_Mouse","TD50_Mouse_Note","TargetSites_Mouse_Male","TargetSites_Mouse_Female","TargetSites_Mouse_BothSexes","ActivityOutcome_CPDBAS_Mouse","TD50_Hamster_mg","TD50_Hamster_mmol","ActivityScore_CPDBAS_Hamster","TD50_Hamster_Note","TargetSites_Hamster_Male","TargetSites_Hamster_Female","TargetSites_Hamster_BothSexes","ActivityOutcome_CPDBAS_Hamster","TD50_Dog_mg","TargetSites_Dog","TD50_Rhesus_mg","TargetSites_Rhesus","TD50_Cynomolgus_mg","TargetSites_Cynomolgus","TD50_Dog_Primates_Note","ActivityOutcome_CPDBAS_Dog_Primates","ActivityOutcome_CPDBAS_SingleCellCall","ActivityOutcome_CPDBAS_MultiCellCall","ActivityOutcome_CPDBAS_MultiCellCall_Details","Note_CPDBAS","NTP_TechnicalReport","ChemicalPage_URL"
20030,30,20030,"31_CPDBAS_v5d","C63H88N12O16",1269.4436,"defined organic","parent ","representative component in mixture","Actinomycin C","8052-16-2","mixture or formulation","mixture of actinomycin C1 [50-76-0] (10%), actinomycin C2 [2612-14-8] (45%), and actinomycin C3 [6156-47-4] (45%), structure shown C2, stereochem","2-amino-4,6-dimethyl-3-oxo-N~9~-[(6S,9R,10S,13R,18aS)-2,5,9-trimethyl-6,13-bis(1-methylethyl)-1,4,7,11,14-pentaoxohexadecahydro-1H-pyrrolo[2,1-i][1,4,7,10,13]oxatetraazacyclohexadecin-10-yl]-N~1~-{(6S,9R,10S,13R,18aS)-2,5,9-trimethyl-6-(1-methylethyl)","O=C(N[C@@H]([C@H](OC([C@@H]5[C@@H](C)C)=O)C)C(N[C@H]([C@@H](C)CC)C(N4CCC[C@@](C(N(C)CC(N5C)=O)=O)4[H])=O)=O)C(C(C(OC2=C(C)C=C3)=C(C)C1=O)=NC2=C3C(N[C@@H]([C@H](OC([C@@H]7[C@H](C)C)=O)C)C(N[C@H](C(C)C)C(N6CCC[C@@](C(N(C)CC(N7C)=O)=O)6[H])=O)=O)=O)=C1N","O=C(N[C@@H]([C@H](OC([C@@H]5[C@@H](C)C)=O)C)C(N[C@H]([C@@H](C)CC)C(N4CCC[C@@](C(N(C)CC(N5C)=O)=O)4[H])=O)=O)C(C(C(OC2=C(C)C=C3)=C(C)C1=O)=NC2=C3C(N[C@@H]([C@H](OC([C@@H]7[C@H](C)C)=O)C)C(N[C@H](C(C)C)C(N6CCC[C@@](C(N(C)CC(N7C)=O)=O)6[H])=O)=O)=O)=C1N","InChI=1/C63H88N12O16/c1-17-31(8)44-61(86)75-25-19-21-38(75)59(84)71(14)27-40(77)73(16)50(30(6)7)63(88)90-35(12)46(57(82)67-44)69-55(80)41-42(64)51(78)33(10)53-48(41)65-47-36(23-22-32(9)52(47)91-53)54(79)68-45-34(11)89-62(87)49(29(4)5)72(15)39(76)26-70(13)58(83)37-20-18-24-74(37)60(85)43(28(2)3)66-56(45)81/h22-23,28-31,34-35,37-38,43-46,49-50H,17-21,24-27,64H2,1-16H3,(H,66,81)(H,67,82)(H,68,79)(H,69,80)/t31-,34+,35+,37-,38-,43+,44+,45-,46-,49-,50-/m0/s1/f/h66-69H","QCXJFISCRQIYID-IFORFJDKDU","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results",,,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive",,,,,"http://potency.berkeley.edu/chempages/ACTINOMYCIN%20C.html"
20031,31,20031,"32_CPDBAS_v5d","C62H86N12O16",1255.417,"defined organic","parent ","tested chemical","Actinomycin D","50-76-0","single chemical compound","stereochem","2-amino-4,6-dimethyl-3-oxo-N,N'-bis[(6S,9R,10S,13R,18aS)-2,5,9-trimethyl-6,13-bis(1-methylethyl)-1,4,7,11,14-pentaoxohexadecahydro-1H-pyrrolo[2,1-i][1,4,7,10,13]oxatetraazacyclohexadecin-10-yl]-3H-phenoxazine-1,9-dicarboxamide","C12C(OC3=C(N=1)C(=CC=C3C)C(N[C@@H]4C(N[C@@H](C(N5[C@@H](CCC5)C(N(CC(N([C@H](C(O[C@H]4C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)=C(C(C(=C2C(N[C@@H]6C(N[C@@H](C(N7[C@@H](CCC7)C(N(CC(N([C@H](C(O[C@H]6C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)N)=O)C","C12C(OC3=C(N=1)C(=CC=C3C)C(N[C@@H]4C(N[C@@H](C(N5[C@@H](CCC5)C(N(CC(N([C@H](C(O[C@H]4C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)=C(C(C(=C2C(N[C@@H]6C(N[C@@H](C(N7[C@@H](CCC7)C(N(CC(N([C@H](C(O[C@H]6C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)N)=O)C","InChI=1/C62H86N12O16/c1-27(2)42-59(84)73-23-17-19-36(73)57(82)69(13)25-38(75)71(15)48(29(5)6)61(86)88-33(11)44(55(80)65-42)67-53(78)35-22-21-31(9)51-46(35)64-47-40(41(63)50(77)32(10)52(47)90-51)54(79)68-45-34(12)89-62(87)49(30(7)8)72(16)39(76)26-70(14)58(83)37-20-18-24-74(37)60(85)43(28(3)4)66-56(45)81/h21-22,27-30,33-34,36-37,42-45,48-49H,17-20,23-26,63H2,1-16H3,(H,65,80)(H,66,81)(H,67,78)(H,68,79)/t33-,34-,36+,37+,42-,43-,44+,45+,48+,49+/m1/s1/f/h65-68H","RJURFGZVJUQBHK-HQANWYOLDQ","Carcinogenicity","TD50; Tumor Target Sites","rat","inactive",0.00111,8.84e-07,88,"positive test results only by intraperitoneal or intravenous injection; TD50 is harmonic mean of more than one positive test","peritoneal cavity","peritoneal cavity",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active","active","multisex active","TD50_Rat_Note modified v5a",,"http://potency.berkeley.edu/chempages/ACTINOMYCIN%20D.html"
20032,32,20032,"33_CPDBAS_v5d","C6H12N2O2",144.1717,"defined organic","parent ","tested chemical","Adipamide","628-94-4","single chemical compound",,"hexanediamide","NC(=O)CCCCC(=O)N","NC(=O)CCCCC(=O)N","InChI=1/C6H12N2O2/c7-5(9)3-1-2-4-6(8)10/h1-4H2,(H2,7,9)(H2,8,10)/f/h7-8H2","GVNWZKBFMFUVNX-UNXFWZPKCL","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,,"http://potency.berkeley.edu/chempages/ADIPAMIDE.html"
20033,33,20033,"34_CPDBAS_v5d","C11H8N2O5",248.1916,"defined organic","parent ","tested chemical","AF-2","3688-53-7","single chemical compound","stereochem","(2Z)-2-(furan-2-yl)-3-(5-nitrofuran-2-yl)prop-2-enamide","O=C(N)\C(C2=CC=CO2)=C/C1=CC=C([N+]([O-])=O)O1","O=C(N)\C(C2=CC=CO2)=C/C1=CC=C([N+]([O-])=O)O1","InChI=1/C11H8N2O5/c12-11(14)8(9-2-1-5-17-9)6-7-3-4-10(18-7)13(15)16/h1-6H,(H2,12,14)/b8-6-/f/h12H2","LYAHJFZLDZDIOH-SDXKRDFODJ","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse; hamster","active",29.4,0.118,35,"TD50 is harmonic mean of more than one positive test; greater than ten-fold variation among TD50 values for positive results","mammary gland","mammary gland",,"active",131,0.528,31,"TD50 is harmonic mean of more than one positive test; greater than ten-fold variation among TD50 values for positive results","stomach","stomach",,"active",164,0.661,30,"TD50 is harmonic mean of more than one positive test","esophagus; stomach","stomach",,"active",,,,,,,,,"active","active","multisite active; multisex active; multispecies active","structure modified v5b",,"http://potency.berkeley.edu/chempages/AF-2.html"
20034,34,20034,"35_CPDBAS_v5d","C17H14O6",314.294,"defined organic","parent ","tested chemical","Aflatoxicol","29611-03-8","single chemical compound","stereochem","(1R,6aS,9aS)-1-hydroxy-4-(methyloxy)-2,3,6a,9a-tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h]chromen-11(1H)-one","O=C(O2)C([C@@H](CC3)O)=C3C1=C2C4=C(O[C@@]5([H])[C@]([H])4C=CO5)C=C1OC","O=C(O2)C([C@@H](CC3)O)=C3C1=C2C4=C(O[C@@]5([H])[C@]([H])4C=CO5)C=C1OC","InChI=1/C17H14O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8-9,17-18H,2-3H2,1H3/t8-,9+,17-/m0/s1","WYIWLDSPNDMZIT-BTKFHORUBM","Carcinogenicity","TD50; Tumor Target Sites","rat","active",0.00247,7.86e-06,78,,"liver",,,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active",,,,,"http://potency.berkeley.edu/chempages/AFLATOXICOL.html"
20035,35,20035,"36_CPDBAS_v5d","C17H12O6",312.2736,"defined organic","parent ","tested chemical","Aflatoxin B1","1162-65-8","single chemical compound",,"4-(methyloxy)-2,3,6a,9a-tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h]chromene-1,11-dione","C12=C3C(C4=C(C(O3)=O)C(=O)CC4)=C(C=C1OC5C2C=CO5)OC","C12=C3C(C4=C(C(O3)=O)C(=O)CC4)=C(C=C1OC5C2C=CO5)OC","InChI=1/C17H12O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8,17H,2-3H2,1H3","OQIQSTLJSLGHID-UHFFFAOYAB","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse; rhesus; cynomolgus; tree shrew","active",0.0032,1.02e-05,77,"TD50 is harmonic mean of more than one positive test; harmonic mean of TD50 includes a value for upper 99% confidence limit from study with 100% tumor incidence but no lifetable; greater than ten-fold variation among TD50 values for positive results","kidney; large intestine; liver","large intestine; liver",,"active",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,0.0082,"gall bladder; liver; vascular system",0.0201,"gall bladder; liver; vascular system","Tree Shrew (TD50=0.0269; Target Sites=liver)","active","active","active","multisite active; multisex active; multispecies active","TD50_Rat_Note modified v5a",,"http://potency.berkeley.edu/chempages/AFLATOXIN%20B1.html"
20036,36,20036,"37_CPDBAS_v5d","C17H12O7",328.273,"defined organic","parent ","representative component in mixture","Aflatoxin, crude","1402-68-2","mixture or formulation","mixture of aflatoxins, structure shown G1 [1165-39-5]","5-(methyloxy)-3,4,7a,10a-tetrahydro-1H,12H-furo[3',2':4,5]furo[2,3-h]pyrano[3,4-c]chromene-1,12-dione","O=C1C(C(OCC5)=O)=C5C(C(OC)=C4)=C(C2=C4OC3C2C=CO3)O1","O=C1C(C(OCC5)=O)=C5C(C(OC)=C4)=C(C2=C4OC3C2C=CO3)O1","InChI=1/C17H12O7/c1-20-9-6-10-12(8-3-5-22-17(8)23-10)14-11(9)7-2-4-21-15(18)13(7)16(19)24-14/h3,5-6,8,17H,2,4H2,1H3","XWIYFDMXXLINPU-UHFFFAOYAD","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse",,0.00299,,50,"TD50 is harmonic mean of more than one positive test; TD50_Rat_mmol was not calculated for this mixture, but Activiity Score is assigned value of ""50"" to indicate active","liver",,,"active",0.343,,50,,"hematopoietic system",,,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multispecies active","TD50_Rat_mmol and TD50_Mouse_mmol conversions from mg values not provided due substance being a mixture",,"http://potency.berkeley.edu/chempages/AFLATOXIN,%20CRUDE.html"
20037,,20037,"38_CPDBAS_v5d",,,"no structure",,"no structure","Agar","9002-18-0","mixture or formulation",,,,,"InChI=1//","MOSFIJXAXDLOML-UHFFFAOYAM","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,"TR 230 ","http://potency.berkeley.edu/chempages/AGAR.html"
20038,38,20038,"39_CPDBAS_v5d","C11H11ClO3",226.6562,"defined organic","parent ","tested chemical","Alclofenac","22131-79-9","single chemical compound",,"[3-chloro-4-(prop-2-en-1-yloxy)phenyl]acetic acid","C1(OCC=C)=CC=C(CC(=O)O)C=C1Cl","C1(OCC=C)=CC=C(CC(=O)O)C=C1Cl","InChI=1/C11H11ClO3/c1-2-5-15-10-4-3-8(6-9(10)12)7-11(13)14/h2-4,6H,1,5,7H2,(H,13,14)/f/h13H","ARHWPKZXBHOEEE-NDKGDYFDCL","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive","Rat added v2a",,"http://potency.berkeley.edu/chempages/ALCLOFENAC.html"
20039,39,39223,"40_CPDBAS_v5d","C7H14N2O2S",190.2633,"defined organic","parent ","tested chemical","Aldicarb","116-06-3","single chemical compound",,"(1E)-2-methyl-2-(methylthio)propanal O-[(methylamino)carbonyl]oxime","CC(C=NOC(=O)NC)(SC)C","CC(C=NOC(=O)NC)(SC)C","InChI=1/C7H14N2O2S/c1-7(2,12-4)5-9-11-6(10)8-3/h5H,1-4H3,(H,8,10)/b9-5+/f/h8H","QGLZXHRNAYXIBU-RVKZGWQMDN","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,"TR 136 ","http://potency.berkeley.edu/chempages/ALDICARB.html"
20040,40,20040,"41_CPDBAS_v5d","C12H8Cl6",364.9099,"defined organic","parent ","tested chemical","Aldrin","309-00-2","single chemical compound","stereochem","1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene","ClC(C(Cl)(Cl)C43Cl)(C(Cl)=C4Cl)C1C3C2C=CC1C2","ClC(C(Cl)(Cl)C43Cl)(C(Cl)=C4Cl)C1C3C2C=CC1C2","InChI=1/C12H8Cl6/c13-8-9(14)11(16)7-5-2-1-4(3-5)6(7)10(8,15)12(11,17)18/h1-2,4-7H,3H2","QBYJBZPUGVGKQQ-UHFFFAOYAT","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",1.27,0.00348,56,"TD50 is harmonic mean of more than one positive test","liver",,"liver","active",,,,,,,,,,,,,,,,,"active",,,,"TR 21; final call in CPDB differs due to additional data ","http://potency.berkeley.edu/chempages/ALDRIN.html"
20041,41,20041,"42_CPDBAS_v5d","C18H29NaO3S",348.4758,"defined organic","salt Na","representative isomer in mixture","Alkylbenzenesulfonate, linear","42615-29-2","mixture or formulation","mixture of C10-13 alkylbenzenesulfonates average 11.6; with phenyl attachment varying in apprpx equal amounts between C-2,3,4,5 or 6; structure shown C12 attached at C2","sodium 4-(dodecan-2-yl)benzenesulfonate","O=S(C1=CC=C(C(C)CCCCCCCCCC)C=C1)([O-])=O.[Na+]","O=S(C1=CC=C(C(C)CCCCCCCCCC)C=C1)(O)=O","InChI=1/C18H30O3S.Na/c1-3-4-5-6-7-8-9-10-11-16(2)17-12-14-18(15-13-17)22(19,20)21;/h12-16H,3-11H2,1-2H3,(H,19,20,21);/q;+1/p-1/fC18H29O3S.Na/q-1;m","GHRHULTYHYEOQB-MFZBKVKLCJ","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive","structure modified v5b",,"http://potency.berkeley.edu/chempages/ALKYLBENZENESULFONATE,%20LINEAR.html"
20042,42,20042,"43_CPDBAS_v5d","C12H27NO",201.3489,"defined organic","parent ","representative isomer in mixture","Alkyldimethylamine oxides, commercial grade","NOCAS","mixture or formulation","mixture, C10-16 [70592-80-2], C12-18 [68955-55-5], C12-16 [68439-70-3], C14-18 [68390-99-8], structure shown C-12","decyl(dimethyl)amine oxide","[O-][N+](C)(C)CCCCCCCCCC","[O-][N+](C)(C)CCCCCCCCCC","InChI=1/C12H27NO/c1-4-5-6-7-8-9-10-11-12-13(2,3)14/h4-12H2,1-3H3","ZRKZFNZPJKEWPC-UHFFFAOYAU","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/ALKYLDIMETHYLAMINE%20OXIDES,%20COMMERCIAL%20GRADE.html"
20043,43,20043,"44_CPDBAS_v5d","C4H6N4O3",158.1164,"defined organic","parent ","tested chemical","Allantoin","97-59-6","single chemical compound",,"1-(2,5-dioxoimidazolidin-4-yl)urea","O=C1C(NC(=O)N1)NC(=O)N","O=C1C(NC(=O)N1)NC(=O)N","InChI=1/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)/f/h6-8H,5H2","POJWUDADGALRAB-BANUENCFCI","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/ALLANTOIN.html"
20044,44,20044,"45_CPDBAS_v5d","C3H6O",58.0791,"defined organic","parent ","tested chemical","Allyl alcohol","107-18-6","single chemical compound",,"prop-2-en-1-ol","C=CCO","C=CCO","InChI=1/C3H6O/c1-2-3-4/h2,4H,1,3H2","XXROGKLTLUQVRX-UHFFFAOYAC","Carcinogenicity","TD50; Tumor Target Sites","rat","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive","Mutagenicity_SAL_CPDB added v3a",,"http://potency.berkeley.edu/chempages/ALLYL%20ALCOHOL.html"
20045,45,39231,"46_CPDBAS_v5d","C3H5Cl",76.5248,"defined organic","parent ","tested chemical","Allyl chloride","107-05-1","single chemical compound",,"3-chloroprop-1-ene","C=CCCl","C=CCCl","InChI=1/C3H5Cl/c1-2-3-4/h2H,1,3H2","OSDWBNJEKMUWAV-UHFFFAOYAQ","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",,,0,"only experiment is NCI NTP bioassay inadequate","NTP bioassay inadequate","NTP bioassay inadequate",,"unspecified",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive","ActivityOutcome_CPDBAS_Mouse modified v5d","TR 73 ","http://potency.berkeley.edu/chempages/ALLYL%20CHLORIDE.html"
20046,46,39232,"47_CPDBAS_v5d","C6H10O2",114.1424,"defined organic","parent ","tested chemical","Allyl glycidyl ether","106-92-3","single chemical compound",,"2-[(allyloxy)methyl]oxirane","C=CCOCC1CO1","C=CCOCC1CO1","InChI=1/C6H10O2/c1-2-3-7-4-6-5-8-6/h2,6H,1,3-5H2","LSWYGACWGAICNM-UHFFFAOYAR","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",,,0,"no positive results","no positive results","no positive results",,"inactive",182,1.59,26,,"nasal cavity","no positive results",,"active",,,,,,,,,,,,,,,,,"active",,,,"TR 376","http://potency.berkeley.edu/chempages/ALLYL%20GLYCIDYL%20ETHER.html"
20047,47,20047,"48_CPDBAS_v5d","C4H5NS",99.1542,"defined organic","parent ","tested chemical","Allyl isothiocyanate","57-06-7","single chemical compound",,"3-isothiocyanatoprop-1-ene","C=CCN=C=S","C=CCN=C=S","InChI=1/C4H5NS/c1-2-3-5-4-6/h2H,1,3H2","ZOJBYZNEUISWFT-UHFFFAOYAS","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",96,0.968,26,,"urinary bladder","no positive results",,"active",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"active",,,,"TR 234","http://potency.berkeley.edu/chempages/ALLYL%20ISOTHIOCYANATE.html"
20048,48,39233,"49_CPDBAS_v5d","C8H14O2",142.1956,"defined organic","parent ","tested chemical","Allyl isovalerate","2835-39-4","single chemical compound",,"allyl 3-methylbutanoate","O=C(CC(C)C)OCC=C","O=C(CC(C)C)OCC=C","InChI=1/C8H14O2/c1-4-5-10-8(9)6-7(2)3/h4,7H,1,5-6H2,2-3H3","HOMAGVUCNZNWBC-UHFFFAOYAF","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",123,0.865,26,,"hematopoietic system","no positive results",,"active",62.8,0.442,32,,"no positive results","hematopoietic system",,"active",,,,,,,,,,,,,,,,,"active","active","multisex active; multispecies active",,"TR 253","http://potency.berkeley.edu/chempages/ALLYL%20ISOVALERATE.html"
20049,49,20049,"50_CPDBAS_v5d","C4H7N3O2",129.1182,"defined organic","parent ","tested chemical","1-Allyl-1-nitrosourea","760-56-5","single chemical compound",,"1-nitroso-1-prop-2-en-1-ylurea","NC(=O)N(CC=C)N=O","NC(=O)N(CC=C)N=O","InChI=1/C4H7N3O2/c1-2-3-7(6-9)4(5)8/h2H,1,3H2,(H2,5,8)/f/h5H2","WBBDVRPSJSJSPC-GLFQYTTQCA","Carcinogenicity","TD50; Tumor Target Sites","rat",,0.341,0.00264,52,"TD50 is harmonic mean of more than one positive test","large intestine; lung; stomach","mammary gland; stomach; uterus",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active",,,"http://potency.berkeley.edu/chempages/1-ALLYL-1-NITROSOUREA.html"
20050,50,20050,"51_CPDBAS_v5d","C3H9ClN2",108.5705,"defined organic","complex HCl","tested chemical","Allylhydrazine.HCl","52207-83-7","single chemical compound","parent [7422-78-8]","prop-2-en-1-ylhydrazine hydrochloride","C=CCNN.HCl","C=CCNN","InChI=1/C3H8N2.ClH/c1-2-3-5-4;/h2,5H,1,3-4H2;1H","PWGPATVPEGLIAN-UHFFFAOYAO","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,34.2,0.315,34,"TD50 is harmonic mean of more than one positive test","lung","lung; vascular system",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active",,,"http://potency.berkeley.edu/chempages/ALLYLHYDRAZINE.HCl.html"
20051,51,39234,"52_CPDBAS_v5d","AlKO8S2",258.18674,"inorganic",,"tested chemical","Aluminum potassium sulfate","10043-67-1","single chemical compound",,"aluminum potassium sulfate","O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[K+]",,"InChI=1/Al.K.2H2O4S/c;;2*1-5(2,3)4/h;;2*(H2,1,2,3,4)/q+3;+1;;/p-4/fAl.K.2O4S/q2m;2*-2","GRLPQNLYRHEGIJ-MHPHYJPNCZ","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,,"http://potency.berkeley.edu/chempages/ALUMINUM%20POTASSIUM%20SULFATE.html"
20052,52,39235,"53_CPDBAS_v5d","C14H7Br2NO2",381.0189,"defined organic","parent ","tested chemical","1-Amino-2,4-dibromoanthraquinone","81-49-2","single chemical compound",,"1-amino-2,4-dibromo-9,10-anthraquinone","O=C1C2=C(C(=CC(=C2C(=O)C3=C1C=CC=C3)Br)Br)N","O=C1C2=C(C(=CC(=C2C(=O)C3=C1C=CC=C3)Br)Br)N","InChI=1/C14H7Br2NO2/c15-8-5-9(16)12(17)11-10(8)13(18)6-3-1-2-4-7(6)14(11)19/h1-5H,17H2","ZINRVIQBCHAZMM-UHFFFAOYAC","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",46,0.121,35,"TD50 is harmonic mean of more than one positive test","kidney; large intestine; liver; urinary bladder","kidney; large intestine; liver; urinary bladder",,"active",477,1.25,27,"TD50 is harmonic mean of more than one positive test","liver; lung; stomach","liver; lung; stomach",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,"TR 383 ","http://potency.berkeley.edu/chempages/1-AMINO-2,4-DIBROMOANTHRAQUINONE.html"
20053,53,20053,"54_CPDBAS_v5d","C10H14N2O2",194.2304,"defined organic","parent ","tested chemical","3-Amino-4-ethoxyacetanilide","17026-81-2","single chemical compound",,"N-[3-amino-4-(ethyloxy)phenyl]acetamide","NC1=C(C=CC(=C1)NC(=O)C)OCC","NC1=C(C=CC(=C1)NC(=O)C)OCC","InChI=1/C10H14N2O2/c1-3-14-10-5-4-8(6-9(10)11)12-7(2)13/h4-6H,3,11H2,1-2H3,(H,12,13)/f/h12H","XTXFAVHDQCHWCS-XWKXFZRBCV","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",,,0,"no positive results","no positive results","no positive results",,"inactive",2070,10.7,17,,"thyroid gland","no positive results",,"active",,,,,,,,,,,,,,,,,"active",,,,"TR 112","http://potency.berkeley.edu/chempages/3-AMINO-4-ETHOXYACETANILIDE.html"
20054,54,20054,"55_CPDBAS_v5d","C14H15ClN2",246.7353,"defined organic","complex HCl","tested chemical","3-Amino-9-ethylcarbazole.HCl","6109-97-3","single chemical compound","parent [132-32-1]","9-ethyl-9H-carbazol-3-amine hydrochloride","CCN1(C2C(=CC=CC=2)C3=C1C=CC(=C3)N).[H]Cl","CCN1(C2C(=CC=CC=2)C3=C1C=CC(=C3)N)","InChI=1/C14H14N2.ClH/c1-2-16-13-6-4-3-5-11(13)12-9-10(15)7-8-14(12)16;/h3-9H,2,15H2,1H3;1H","UUYSTZWIFZYHRM-UHFFFAOYAB","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",57.2,0.232,32,"TD50 is harmonic mean of more than one positive test","ear Zymbals gland; liver; skin","ear Zymbals gland; liver; uterus",,"active",38.6,0.156,37,"TD50 is harmonic mean of more than one positive test","liver","liver",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,"TR 93","http://potency.berkeley.edu/chempages/3-AMINO-9-ETHYLCARBAZOLE.HCl.html"
